entity,annee,pub_count_publications,pub_sum_Impact_factor,pub_count_Author,pub_sum_author,pub_count_First_Author,pub_sum_first_author,pub_count_Last_Author,pub_sum_last_author,guid_count_publications,guid_sum_Impact_factor,guid_count_Author,guid_sum_author,guid_count_First_Author,guid_sum_first_author,guid_count_Last_Author,guid_sum_last_author,nombre_session_congress,cong_count_chair,cong_count_poster,cong_count_speaker,count_collab_distinct,count_collab,sum_score_collab,pub_count_publications_a-1,pub_sum_Impact_factor_a-1,pub_count_Author_a-1,pub_sum_author_a-1,pub_count_First_Author_a-1,pub_sum_first_author_a-1,pub_count_Last_Author_a-1,pub_sum_last_author_a-1,guid_count_publications_a-1,guid_sum_Impact_factor_a-1,guid_count_Author_a-1,guid_sum_author_a-1,guid_count_First_Author_a-1,guid_sum_first_author_a-1,guid_count_Last_Author_a-1,guid_sum_last_author_a-1,nombre_session_congress_a-1,cong_count_chair_a-1,cong_count_poster_a-1,cong_count_speaker_a-1,count_collab_distinct_a-1,count_collab_a-1,sum_score_collab_a-1,pub_count_publications_a-2,pub_sum_Impact_factor_a-2,pub_count_Author_a-2,pub_sum_author_a-2,pub_count_First_Author_a-2,pub_sum_first_author_a-2,pub_count_Last_Author_a-2,pub_sum_last_author_a-2,guid_count_publications_a-2,guid_sum_Impact_factor_a-2,guid_count_Author_a-2,guid_sum_author_a-2,guid_count_First_Author_a-2,guid_sum_first_author_a-2,guid_count_Last_Author_a-2,guid_sum_last_author_a-2,nombre_session_congress_a-2,cong_count_chair_a-2,cong_count_poster_a-2,cong_count_speaker_a-2,count_collab_distinct_a-2,count_collab_a-2,sum_score_collab_a-2,ranking
Sophie Heinzen,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3,1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.440581139901165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11105
Sophie Heinzen,2024-01-01,2,3.4,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,1.84214936338256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3,1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.440581139901165,10436
Sophie Heinzen,2025-01-01,3,10.3,3,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,1.14825489346325,2,3.4,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,1.84214936338256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10904
Sophie M Ernst,2023-01-01,2,12,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.698184116423961,1,21,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.684076127003858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4548
Sophie M Ernst,2024-01-01,4,63.1,0,0,4,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,1.39429699730641,2,12,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.698184116423961,1,21,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.684076127003858,4390
Sophie M Ernst,2025-01-01,2,4.1,1,4,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,1.10548778078881,4,63.1,0,0,4,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,1.39429699730641,2,12,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.698184116423961,4648
Sophie Schneider,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.1,2,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,2.5250493472347,1,4.4,1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2.03676619879315,5504
Sophie Schneider,2024-01-01,2,7.2,2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,53,3.22003244620419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.1,2,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,2.5250493472347,6086
Sophie Schneider,2025-01-01,1,7.1,1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0.92556144655401,2,7.2,2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,53,3.22003244620419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5396
Sophie Sun,2023-01-01,4,31.2,3,27.8,0,0,1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,23,30,2.11654189350392,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.503808359590843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6821
Sophie Sun,2024-01-01,1,4.4,0,0,0,0,1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.271808957624314,4,31.2,3,27.8,0,0,1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,23,30,2.11654189350392,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.503808359590843,9247
Sophie Sun,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4,0,0,0,0,1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.271808957624314,4,31.2,3,27.8,0,0,1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,23,30,2.11654189350392,9691
Sophon Siwachat,2023-01-01,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.153400324127871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0.619493251863717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9893
